"CCh_11x01" "CCh_11x02" "CCh_11x04" "CCh_11x05" "CCh_11x10" "CCh_3x07" "CCh_5x08" "CCh_5x09" "CCh_7x02" "CCh_7x04" "CTr_9x06" "EHi_11x09" "FCB_8x10" "FCo-Bo_10x02" "GRo_3x02" "GRo_4x07" "GRo_5x11" "GRo_6x12" "GRo&SMo_8x06" "HRa_3x04" "HRa_3x05" "HRa_4x04" "HRa_4x05" "JMa_10x05" "JMa_8x08" "JMa_8x09" "JMa&SMo_9x05" "JMo_4x02" "JWi_11x08" "KTe_4x03" "MBa_10x04" "MBl&CCh_11x03" "MGa_10x09" "MGa_1x03" "MGa_2x07" "MGa_5x03" "MGa_6x09" "MGa_7x08" "MGa_7x11" "MGa_8x03" "MGa_9x09" "MGr_2x11" "MGr_6x05" "MGr_6x06" "MJo_2x08" "MJo_2x09" "NCr_7x07" "NCr_7x09" "NGa_6x04" "NGa_7x12" "PCo_1x08" "PCo_3x08" "PCo_3x09" "PFo&SMo_8x02" "PHa_8x07" "PHa_9x07" "PHa&SMo10x07" "PHa&SMo_9x08" "PMcT_11x07" "RCu_5x10" "RMu_10x10" "RSh_1x06" "RTD_1x01" "RTD_1x02" "RTD_1x04" "RTD_1x05" "RTD_1x07" "RTD_1x11" "RTD_1x12" "RTD_1x13" "RTD_2x01" "RTD_2x02" "RTD_2x10" "RTD_2x12" "RTD_2x13" "RTD_3x01" "RTD_3x03" "RTD_3x11" "RTD_3x12" "RTD_3x13" "RTD_4x01" "RTD_4x10" "RTD_4x11" "RTD_4x12" "RTD_4x13" "RTD&GRo_S5" "RTD&PFo_S6" "RTD_S1" "RTD_S2" "RTD_S3" "RTD_S4" "RTD_S7.1" "RTD_S7.2" "SDo_10x03" "SDo_9x10" "SGr_3x06" "SGr_4x06" "SMo_10x01" "SMo_10x06" "SMo_10x11" "SMo_10x12" "SMo_1x09" "SMo_1x10" "SMo_2x04" "SMo_3x10" "SMo_4x08" "SMo_4x09" "SMo_5x01" "SMo_5x02" "SMo_5x04" "SMo_5x05" "SMo_5x12" "SMo_5x13" "SMo_6x01" "SMo_6x02" "SMo_6x07" "SMo_6x08" "SMo_6x13" "SMo_7x01" "SMo_7x05" "SMo_7x06" "SMo_7x13" "SMo_8x01" "SMo_8x04" "SMo_8x11" "SMo_8x12" "SMo_9x01" "SMo_9x02" "SMo_9x11" "SMo_9x12" "SMo_S10" "SMo_S11" "SMo_S12" "SMo_S13" "SMo_S14" "SMo_S15" "SMo_S8" "SMo_S9" "SNy_5x07" "STh_6x03" "STh_7x10" "STh&SMo_8x05" "TMa_2x05" "TMa_2x06" "TMa_6x10" "TWh_10x08" "TWh_2x03" "TWh_5x06" "TWh_6x11" "TWh_7x03" "TWh_9x03" "TWh_9x04" "VPa_11x06"
"you" 3.77194507213628 3.67296485961504 4.12242348532167 3.50556317634507 4.15609756097561 4.28469412044751 3.1632417455553 4.11338448422847 4.14285714285714 2.78806360270094 5.00288628054647 4.38314755337238 3.43726521412472 3.38653172440638 2.90697674418605 3.30425097456841 4.32712215320911 4.63414634146341 4.59607565847622 4.13099315068493 3.53122930920327 3.79388448471121 3.4218030269796 3.63261093911249 4.19602818705958 3.91277766456083 4.41467164506918 3.52807283763278 3.66807955656994 3.07758994364976 4.27949709864603 3.42916522341531 3.19447993866599 3.51600864270281 3.96645512239347 4.04318860555938 3.35737378761502 3.20684126135756 4.00219298245614 4.23764906303237 2.89793309183891 3.82728164867517 3.6847242557345 3.955997461392 2.91051259774109 3.03884081304085 3.99159663865546 3.96391470749043 4.78529839883552 3.98522550544323 4.51690821256039 4.39888960068332 3.65716849899035 4.24742268041237 3.79521644593793 2.96086508753862 3.75973303670745 5.25703652012096 3.01609626504141 3.57222594329091 4.09053156146179 4.10303168452245 4.03076107133386 3.63855421686747 3.3178500331785 3.42361863488624 3.92197125256674 3.7826420890937 3.3982365907421 3.79078694817658 3.13948588284871 2.80271513028246 3.42331768388106 3.13499680102367 4.04463040446304 2.74324903557651 3.34750265674814 3.4684412179875 3.06952662721893 3.60453141091658 3.56222170142958 3.66661282506865 4.07906558849955 2.66666666666667 3.78585723815877 2.97045346816243 3.27187274041938 2.95739348370927 3.77491621097195 2.97144513697637 3.77624845597318 3.48045887614233 3.5172016144532 3.90625 4.75365665896844 4.53917050691244 3.68722186904005 4.11245353159851 3.41818181818182 4.44763271162123 4.69590401323955 4.83308420528151 4.10204081632653 4.03955396591626 3.97998093422307 3.21119802387814 4.61538461538461 4.14172464002589 3.63762743280816 3.70825650481459 4.31472081218274 3.77131876050925 3.80134886572655 3.75138734739179 5.14967552857442 4.13564929693962 4.59821428571429 4.66614603670441 4.68436314967656 4.04040404040404 4.65647112531386 3.83834281072299 4.32225413760088 4.64730290456432 5.09406045233566 4.56370938298649 5.02689284236657 4.29889714157101 2.90849673202614 4.3024302430243 4.42112506451058 3.94125768796285 4.0630586705672 4.2004200420042 4.90083357286577 4.54475664056502 3.70828182941904 4.08124882452511 4.21564653425213 3.91271632806622 4.37702064163144 3.53373106929784 3.15361139369278 3.54312354312354 4.18071476736345 3.34065934065934 4.3116655723353 4.25958406414432 4.07158836689038 3.95821880153931 3.05595705141441 4.1886195995785 4.02443406395976
"the" 2.17277941943334 3.14321031255518 2.24859462835728 3.21597317482091 3.68780487804878 2.88026660318972 3.6712075733087 3.41005967604433 3.10204081632653 4.26922239163581 2.88628054646912 2.66389571131683 3.4748309541698 3.62008563643441 4.34108527131783 4.02821607573789 2.81573498964803 2.21388367729831 2.82835425136998 3.08219178082192 4.2154049878614 3.39750849377123 3.9921035314762 3.15789473684211 3.04292120435618 3.0364785001019 3.4043487810235 4.53338391502276 3.04858167590479 4.83311660164716 3.33655705996132 2.63249047454105 4.01226680296448 4.02671380868199 3.39981867633726 4.18102458074891 3.35737378761502 3.47407803313736 3.01535087719298 3.30068143100511 3.81419134881739 2.96368989205103 3.48950707662274 3.8502221281997 3.43179843614248 4.87019521030388 2.64105642256903 3.79989065062876 3.3296943231441 3.79082426127527 2.82608695652174 2.75464445868033 3.67960511554858 3.4020618556701 3.597548922712 4.14521112255407 4.22691879866518 3.21004884856943 3.37552742616034 3.21500334896182 4.17358803986711 4.17141554593116 4.13683373110581 4.28915662650602 3.87082503870825 4.18201516793066 3.36755646817248 3.91705069124424 4.37178545187362 4.24664107485605 3.75052675937632 4.20407269542369 2.93427230046948 4.00938366389422 4.04463040446304 2.87183883411916 4.37477860432164 3.75075620084694 3.97559171597633 5.1081359423275 3.42160768689946 2.93975125181715 3.21653189577718 4.78306878306878 4.28619079386258 4.23447622057197 4.15762834417932 3.62573099415205 3.86311518786382 3.97159008551964 4.28798305982001 4.25821504958196 3.97847395733231 3.97518382352941 3.11778290993072 2.97235023041475 3.43293070565798 2.60223048327138 4.19393939393939 2.36728837876614 2.95821266032271 3.56253114100648 3.04081632653061 4.03955396591626 3.31267874165872 4.19925895430218 3.57588357588358 3.46222294127164 4.00834105653383 4.09752099979512 3.98281921124561 3.81936103771319 4.37359493153485 3.41842397336293 3.18191333472891 3.68072787427626 2.83482142857143 3.53377586880125 3.85902297568592 2.93175659029318 2.99018488929468 4.71161657189277 3.29640268089181 3.13278008298755 2.47305009511731 3.24936108068638 3.10302027306578 3.44361917623228 4.11764705882353 4.08640864086409 3.57818682263891 4.55629471570227 4.30684219080123 2.62526252625263 3.98102903133084 3.10148932903424 3.67737948084054 2.52021816813993 2.99959464937171 3.86255329821921 3.4817209649341 3.3731069297843 2.706002034588 3.19347319347319 3.16925151719488 4.59340659340659 3.76449989056686 3.68328739664245 2.72930648769575 3.24354040681693 5.03819946314268 5.00526870389884 3.01832554796982
"i" 4.50199895706588 2.96662546353523 4.01832188215699 3.36838896509678 3.06341463414634 2.64222804094263 2.63218656199492 3.00511508951407 3.36734693877551 2.83162709649314 4.71425822589956 3.60853958057812 2.5732531930879 2.64694433631763 3.08139534883721 3.17430852051234 4.36853002070393 4.24015009380863 4.22485416298391 3.125 2.49393069962481 2.79350698376746 2.89537179205966 2.41486068111455 3.33119795003203 3.89239861422458 3.77772896990995 2.46585735963581 3.4072383436583 2.68747290853923 3.28820116054159 2.7364045722203 2.99003322259136 3.6338636810057 2.69718948322756 2.5499655410062 2.46207411091768 2.61892036344201 2.90570175438596 3.30068143100511 1.8538248455146 3.6702649656526 2.92825768667643 3.40596572879205 2.60642919200695 3.24008854900382 3.06122448979592 3.38983050847458 3.31149927219796 2.74105754276827 4.46859903381643 3.77962844330557 3.45523894996635 3.64948453608247 2.49061079264677 2.26570545829042 2.91434927697442 3.69853454291696 3.21925300828254 3.70618441616432 3.23920265780731 3.60155003419193 3.87165208167595 3.27710843373494 3.69387303693873 2.8385698808234 2.81314168377823 3.62903225806452 3.06759735488611 3.52687140115163 3.58196375895491 2.97788482592511 4.46009389671362 2.77244615056515 3.27754532775453 3.96485212173168 2.40878498051718 3.08529945553539 3.34689349112426 3.46035015447992 4.38247011952191 2.82668389597803 3.43216531895777 2.75132275132275 2.80186791194129 3.08105545899826 2.81995661605206 3.60902255639098 3.95131416475569 3.49325989273808 3.33509793541556 2.74159051137468 2.92139150490102 2.61948529411765 3.46420323325635 3.4331797235023 3.03030303030303 3.55483271375465 3.44242424242424 2.79770444763271 4.17873396772859 2.71549576482312 3.20408163265306 2.3774458236903 3.6463298379409 3.23178262659531 2.84823284823285 3.10629348001941 2.3401297497683 2.66338864986683 3.16282702069504 2.95460004804228 3.02472920498672 3.15205327413984 3.37031609796944 3.32919768403639 3.90625 3.47520499804764 2.96676332812849 3.74476472037448 5.47820132389865 4.26482534524777 4.25386404048694 2.84232365145228 3.95265271612767 3.04855786783498 3.22714108398842 4.02880936304299 5.13071895424837 3.43834383438344 2.90727679339412 3.37642776452868 3.25044693645376 3.03030303030303 3.13308421960333 3.7156456318133 3.43016069221261 2.89637013353395 3.06039724361573 2.30749937296213 2.76050733648346 2.91418081688848 3.41810783316378 3.17016317016317 3.88851427287031 2.92307692307692 3.39242722696432 3.23227261338011 3.19910514541387 3.46344145134689 2.2300227131943 2.81875658587987 3.57527847646425
"s" 2.25969059621067 1.67755606568956 2.41515719342078 2.10333790580704 2.04878048780488 2.90407045941443 2.63218656199492 1.61977834612106 1.93877551020408 1.56828577651928 1.71252645757168 2.43718118269412 2.08489857250188 2.23822499026859 2.55813953488372 2.19045851123074 3.04347826086957 2.28893058161351 2.29803782923811 2.41866438356164 2.22908850143456 2.35938089845225 2.32507128756306 2.22910216718266 1.96989109545163 2.32321173833299 2.32813529540962 2.16236722306525 1.69546788392566 2.62245340268747 3.31237911025145 1.85313474194666 1.99335548172757 2.61245334904734 2.67452402538531 1.60808637721112 2.81024620741109 1.7103153393907 1.75438596491228 1.51192504258944 2.40784146601321 2.747791952895 2.19619326500732 2.60207319653057 2.88879235447437 2.7369692090964 2.61104441776711 2.56971022416621 2.62008733624454 2.13841368584759 2.72946859903382 2.62652146060218 2.06416872335652 2.06185567010309 2.23364301245305 1.85375901132853 2.04671857619577 2.51221214235869 2.25035161744022 2.32194686313909 2.45016611295681 2.64417597447003 3.60647043224609 2.40963855421687 3.42844503428445 2.99024918743229 3.36755646817248 2.59216589861751 2.73695811903012 2.61516314779271 2.57058575642646 2.6932340705058 2.50391236306729 2.94305822136916 2.02231520223152 2.48606943849121 2.90471130003542 2.86348054043154 2.40384615384615 1.91555097837281 2.62479493789548 4.10272976901954 2.69541778975741 2.30687830687831 2.13475650433622 2.98625375256755 2.62111352133044 2.87385129490393 2.55777032986417 2.55109436150167 2.22339862361038 2.68325879836671 2.5177782048818 2.41268382352941 2.11701308698999 3.0184331797235 2.81839372748464 3.09014869888476 1.74545454545455 2.12816834050693 2.17211419114605 2.34180368709517 2.63265306122449 2.2722491058279 2.28789323164919 3.25236722931247 2.05821205821206 2.70182818314189 2.40963855421687 2.66338864986683 2.69426005466615 2.59428296901273 2.67729409360311 3.39622641509434 1.96776219384551 2.35732009925558 2.20982142857143 1.89379148770012 1.9852777158153 2.19265829021927 2.03149965761242 2.21364744110479 2.06538093284092 2.57261410788382 1.73324878461213 2.06279664110989 1.42738932561026 1.35043889264011 2.15686274509804 1.74617461746175 2.37398933425082 1.74469687460776 2.0315293352836 2.02520252025203 1.75337740730095 2.19560878243513 2.58034610630408 2.72710174910664 2.3104985812728 2.85929270127916 2.51181298184531 2.04222120238642 3.39776195320448 2.93706293706294 1.77567992807372 2.32967032967033 1.75093018165901 2.15484840892007 2.48322147651007 1.86915887850467 2.12678092091679 2.42360379346681 1.81458857348185
"it" 2.62471753867547 1.88945788451351 2.31105559025609 2.72824264593812 2.18536585365854 2.35658176624613 2.26275686908335 1.61977834612106 1.73469387755102 1.67719451099978 1.962670771599 2.30493104099754 1.99098422238918 2.10198520825224 2.18992248062015 2.17189530350845 2.17391304347826 2.30769230769231 2.08591126038536 1.9263698630137 1.76561465460163 2.22725556813892 2.14959420925642 2.2703818369453 3.10698270339526 2.50662319135928 2.43795299802328 2.27617602427921 1.98891424845126 2.2973558734287 2.03094777562863 1.6106685140284 1.99335548172757 2.12139068945197 1.90389845874887 2.34321157822192 2.28798806267098 2.61892036344201 1.78179824561404 1.83134582623509 1.96036650330279 2.96368989205103 2.00097608589556 2.24243706367675 2.58470894874023 2.75709398269269 2.4609843937575 1.55822854018589 2.67467248908297 2.00233281493002 2.29468599033816 2.37027546444587 1.9519856405654 2.22680412371134 3.06384661000198 1.69927909371782 2.44716351501669 2.37264480111654 2.265979059228 2.00937709310114 2.72009966777409 3.48757693184408 3.0230708035004 1.97590361445783 2.47732802477328 2.49187432286024 2.77207392197125 2.53456221198157 1.98383541513593 2.54318618042227 1.87526337968816 2.82461134223779 2.26917057902973 3.73213904883771 2.09205020920502 2.5289327046721 2.07226354941552 2.78281911675741 2.69970414201183 1.68898043254377 2.32013123974689 3.97350993377483 2.78526504941599 1.75661375661376 1.81787858572382 2.6228472112498 2.36804049168474 2.58980785296575 1.9403774916211 2.18872300333382 1.71166401976354 2.44993194633482 2.24870267153565 2.27481617647059 3.02155504234026 2.58064516129032 2.73363000635728 3.3224907063197 1.91515151515152 2.12816834050693 2.48241621845263 2.61584454409567 2.30612244897959 2.14601304439301 2.40705433746425 2.26430629888843 2.51559251559252 2.39443455751497 2.75718257645968 2.86826469985659 2.55759468957439 3.02666346384819 2.75904353157572 2.26415094339623 2.03056311492569 1.44747725392887 1.36160714285714 2.28426395939086 2.02989069819317 2.63611727026361 1.75758959141748 2.0714865962632 2.79031596224867 2.84232365145228 2.15599239061509 1.80722891566265 1.9859329747621 2.22822417285618 2.74509803921569 2.53825382538254 2.33958369172544 2.39738923057613 2.69787095725662 2.47524752475248 2.22765162402989 2.25702441271304 2.4876390605686 2.89637013353395 2.10782326712606 1.8811136192626 3.20815717483213 2.40936209270307 2.44150559511699 2.12121212121212 1.73072600584401 2.48351648351648 1.83847669074196 1.87922826359308 2.59507829977629 1.59428257284222 2.39520958083832 1.7650158061117 1.59899389148401
"to" 2.19016165478881 1.96009182412149 2.12367270455965 2.81969212010364 2.18536585365854 1.9757200666508 1.63934426229508 2.7919863597613 1.89795918367347 2.0910477020257 2.17433134500673 2.11600226714529 2.31029301277235 2.10198520825224 1.68604651162791 1.3179877482829 1.69772256728778 1.85741088180113 1.7853986211773 2.09760273972603 2.2732288677996 1.86862967157418 2.17152884404475 2.00206398348813 2.04996796925048 1.97676788261667 1.9767186470459 1.91578148710167 2.34757091620476 2.01560468140442 1.69245647969052 2.52857637686179 2.58113979044212 1.76782557454331 1.56391659111514 2.09051229037445 2.11390201442427 1.87065740245858 2.22039473684211 1.72487223168654 2.2373748135521 2.198233562316 2.19619326500732 2.58091812989211 1.39009556907037 1.56973234051117 2.07082833133253 2.05030071077091 1.78311499272198 2.23561430793157 2.07729468599034 1.83642963912022 2.37828135517164 1.91752577319588 2.31271002174343 2.52317198764161 2.91434927697442 2.5587345894394 2.50039068604469 2.09868274168341 1.91029900332226 2.4390243902439 1.96234420578096 1.46987951807229 1.85799601857996 1.69014084507042 1.70431211498973 2.16973886328725 1.9287288758266 1.87140115163148 2.02275600505689 1.51083862491789 1.66275430359937 1.7701002345916 1.81311018131102 1.86455207886841 1.75345377258236 1.77455132083081 1.71967455621302 2.38928939237899 1.64049683618467 1.59909546115329 1.5633423180593 1.60846560846561 1.55103402268179 1.58002844051193 1.80766449746927 1.65413533834586 1.69342035632387 1.95680533410639 1.97635433209811 1.55551234687925 1.86430905246973 1.81525735294118 1.90531177829099 2.30414746543779 1.97075651621106 1.71933085501859 1.86666666666667 1.67384026781444 2.64791063301614 2.26706527154958 2.22448979591837 1.93561960866821 1.97807435653003 1.27624536846439 2.01663201663202 1.71493285876072 1.96941612604263 1.78242163491088 1.9914096056228 1.94571222675955 1.51236460249336 1.90899001109878 2.03056311492569 2.04714640198511 1.76339285714286 2.04998047637642 1.96297122462637 1.99556541019956 1.59780871947044 1.80747359870024 1.57297223362057 1.76348547717842 2.38850137391672 2.11756115370573 2.08936698386429 1.93562907945082 2.3202614379085 2.68226822682268 2.25356958541201 2.19656081335509 1.83650251909638 1.54515451545155 1.82523713710836 2.07277752187932 1.79233621755253 1.9747978183186 1.88488042156465 2.00652119388011 2.01442427256901 1.97338228545204 1.83112919633774 1.60839160839161 2.27017307260058 2.48351648351648 2.25432260888597 2.17990478576798 2.39373601789709 2.5563496426608 2.2093743547388 3.18756585879874 2.53323751347467
"a" 1.70345906483574 1.46565424686562 1.68644597126796 1.7985063252553 1.20975609756098 1.142585098786 1.15446779034865 1.08695652173913 1.85714285714286 1.52472228272707 1.78949393881085 1.94596637067825 2.08489857250188 2.25768781627092 2.4031007751938 1.85632077222944 1.82194616977226 1.83864915572233 2.66925932473042 1.66952054794521 1.50077245641139 2.01963004907512 1.62316297433648 1.91950464396285 2.29019859064702 1.67108212757286 2.15242697122776 1.55538694992413 1.64656015650473 1.45210229735587 1.74081237911025 2.13023900242466 2.0189113212369 1.6106855234728 1.56391659111514 1.69997702733747 2.11390201442427 1.81721004810262 1.97368421052632 2.51277683134583 1.27849989345834 2.11972522080471 1.87896534895071 1.45969959805373 1.54213727193745 1.02636345341115 2.07082833133253 2.48769819573537 1.74672489082969 1.98289269051322 1.93236714975845 1.79372197309417 1.27888714381871 2.5360824742268 1.58134018580747 1.49330587023687 1.71301446051168 1.72133054198651 1.90654789810908 1.60750167448091 1.64036544850498 1.32208798723501 1.61760806152214 1.51807228915663 2.03494802034948 1.64680390032503 1.84804928131417 2.38095238095238 1.67156502571638 1.51151631477927 1.83312262958281 1.88307422815853 2.03442879499218 1.55683514608659 1.20874012087401 2.03600514359194 1.32837407013815 2.27868521879411 1.33136094674556 1.48300720906282 2.01546754159831 1.34065579066387 1.81491464510332 1.22751322751323 1.11741160773849 2.08563754147575 0.885755603759942 1.95488721804511 1.88745810548598 1.73938251920568 2.01164637374272 1.55551234687925 1.59523351912358 2.06801470588235 1.82832948421863 1.84331797235023 2.35219326128417 2.67193308550186 2.4 1.91296030607365 2.04799338022342 2.71549576482312 2.10204081632653 2.44056385440774 2.19256434699714 2.4083985179086 2.12058212058212 2.75036401876719 2.3401297497683 2.00778528989961 1.75712612260836 2.11386019697334 1.73717555691805 2.0865704772475 1.77935943060498 2.35732009925558 1.74107142857143 1.60093713393206 2.07450368057105 1.82310914018231 2.16845469070988 1.68562144597888 1.83285460265354 2.26141078838174 1.69097442401184 2.00803212851406 2.42035581299131 2.58834121089354 2.09150326797386 1.89018901890189 1.89231033889558 2.00828417221037 2.14529497805948 1.90519051905191 2.06956021845358 2.47197911868571 2.08590852904821 2.38856498025202 2.20916092419943 2.23225482819162 2.01442427256901 1.97338228545204 1.68870803662258 1.44522144522145 2.13531130591144 1.62637362637363 1.79470343620048 1.50338261087447 1.74496644295302 1.86915887850467 1.63122031798472 1.55426765015806 1.70679123248293
"that" 1.44272553450374 1.07716757902172 1.49906308557152 1.28029263831733 1.42439024390244 1.142585098786 1.1082890787347 0.767263427109974 1.38775510204082 1.04552385101285 1.07754473734847 1.2469299074249 1.48384673178062 1.45971195017517 1.58914728682171 1.29942454056061 1.32505175983437 1.42589118198874 1.43185433975605 1.26284246575342 1.65526373868903 1.34012835032088 1.27220881772318 1.30030959752322 1.80973734785394 1.8748726309354 1.62530199868219 1.80197268588771 1.23899576133029 1.60381447767664 1.28143133462282 1.6799445791479 1.15001277791975 1.43390296601846 1.4052583862194 1.14863312657937 1.54190499875653 1.06894708711919 1.20614035087719 1.4267461669506 1.61943319838057 1.13837095191364 0.805270863836018 0.740427332346097 2.23718505647263 1.89172871805192 1.41056422569028 1.64024056861673 1.43740902474527 1.41912908242613 1.52173913043478 1.77236814008114 1.48081669284272 1.69072164948454 1.798774461356 1.02986611740474 1.20133481646274 1.16306117701791 1.23456790123457 1.36191114087966 1.41196013289037 1.481650330522 1.48501723680721 1.32530120481928 1.43773501437735 1.64680390032503 1.49897330595483 1.32488479262673 1.68993387215283 1.72744721689059 1.87526337968816 1.51083862491789 1.9170579029734 1.64214118148859 1.48768014876801 1.73596228032576 1.57633722989727 1.57289776164549 1.38683431952663 1.31822863027806 1.73423951253808 1.85753513164271 1.38364779874214 1.52380952380952 1.71781187458306 2.02243640385527 1.64497469269704 1.70426065162907 1.49938260716176 1.43499057834469 1.46461972825128 1.4582928251993 1.40303670959062 1.63143382352941 1.17397998460354 1.88940092165899 1.67408349226531 1.60315985130112 1.21212121212121 1.14777618364419 1.179147703765 1.32037867463876 0.959183673469388 1.38859667578372 1.16777883698761 1.54384520378757 1.28898128898129 1.53696812813461 0.92678405931418 1.45461995492727 1.34713002733307 0.88878212827288 1.69630083793174 1.66481687014428 1.36068662340381 0.76509511993383 1.33928571428571 1.22998828582585 1.20455052420254 1.45355999014536 1.34672449212509 0.995125913891145 1.66871836958008 1.53526970954357 1.73324878461213 1.27783862723622 1.07571369466281 0.92279990997074 1.30718954248366 1.17011701170117 1.04937209702391 1.53131668131041 1.2514220705347 1.38013801380138 1.26473124461052 1.3050821434055 1.08158220024722 1.24130148580026 1.01337657073368 1.10358665663406 1.09425516040786 1.39972464433226 1.56663275686673 1.58508158508159 1.30366374466172 1.8021978021978 1.2256511271613 1.07742420446004 1.2751677852349 1.37438152831226 1.42473673342969 1.36986301369863 0.934243621990658
"t" 1.2515209455936 1.34204485255165 1.54070372683739 1.4327084285932 1.48292682926829 1.38062366103309 1.59316555068114 1.51321398124467 1.77551020408163 1.50294053583097 1.34693092168559 1.79482335159645 1.52141247182569 1.44024912417283 1.06589147286822 0.779654724336365 1.65631469979296 1.61350844277674 1.20205055683224 1.17722602739726 1.03729860957846 1.4722536806342 1.51348980039482 1.60990712074303 1.69762972453555 1.71184022824536 1.05424994509115 1.34673748103187 0.961851972611673 1.34373645426961 1.37814313346228 1.88777277450641 1.12445693841043 1.51247299155372 1.3599274705349 1.14863312657937 1.59164386968416 1.36290753607696 1.12390350877193 0.915672913117547 1.29980822501598 1.45240431795878 1.24450951683748 1.33276919822297 1.45525629887055 1.24773596297042 1.50060024009604 1.39420448332422 1.60116448326055 1.26360808709176 1.71497584541063 1.72966047405509 1.57056315907561 1.19587628865979 2.01620873690453 1.33882595262616 1.31256952169077 1.74459176552687 1.17205813408345 1.02701495869614 1.45348837209302 1.52723957146114 1.40546274197826 0.843373493975904 1.21654501216545 0.996749729144095 1.35523613963039 1.42089093701997 1.41440117560617 1.31957773512476 1.32743362831858 0.985329537989928 1.50625978090767 1.34357005758157 1.04602510460251 1.43591941705958 1.20439249025859 0.988102440008066 1.23890532544379 1.1740473738414 1.03116943988751 1.55063802293652 1.65318957771788 1.20634920634921 0.783855903935957 1.02701848633275 1.31959508315257 1.18629908103592 1.37590403951314 0.971155239889839 1.00582318687136 1.14719035582345 1.34537766673073 1.14889705882353 1.78983833718245 1.19815668202765 1.20788302606484 1.62639405204461 1.06666666666667 1.36298421807747 1.61357054199421 1.32037867463876 1.63265306122449 1.38859667578372 2.02573879885605 1.79086043639358 1.51767151767152 1.03543116000647 1.43651529193698 1.5160827699242 1.83522061694651 1.12899351429258 1.10361741263029 1.35405105438402 1.40255390412393 1.28205128205128 1.38392857142857 1.44474814525576 1.4276154360919 1.77383592017738 2.21410636840904 1.2591389114541 1.92860073861305 1.82572614107884 1.39505389980977 1.33260313983206 1.13777410012412 1.39545352239478 1.11111111111111 1.35013501350135 1.51384827111646 1.26772938370779 1.511457825451 1.38013801380138 1.75337740730095 1.44326731153078 1.76143386897404 1.73029904081249 1.98621807863802 1.47980938048658 1.9895548371052 1.17026158788435 1.30213631739573 1.23543123543124 1.41604855023601 1.27472527472527 1.31319763624425 0.952142320220496 1.25279642058166 1.62177020340847 1.36279165806318 1.68598524762908 1.76068990298239
"and" 1.39057882843734 1.57160515627759 1.18675827607745 1.12787684804146 1.09268292682927 0.761723399190669 1.1082890787347 1.23614663256607 1.12244897959184 1.78610324548029 1.07754473734847 1.58700170035896 1.16453794139745 1.07045543012845 1.43410852713178 1.42936699461667 0.952380952380952 1.33208255159475 1.11366448647693 1.15582191780822 1.47870227322887 1.1513778784447 1.11866637420487 0.949432404540764 1.12107623318386 0.978194416140208 1.58137491763672 1.21396054628225 1.46723182262798 1.27871694841786 0.967117988394584 1.17769310703152 1.15001277791975 1.35533294048321 1.51858567543064 1.37835975189524 1.44242725690127 0.908605024051309 1.53508771929825 1.34156729131175 0.89494992542084 1.29538763493621 1.48853099072718 1.39623439813835 1.52041702867072 1.04648822700745 2.25090036014406 1.39420448332422 1.63755458515284 1.61353032659409 1.3768115942029 1.43070681187273 2.04173210679829 1.07216494845361 1.10693813006523 1.59629248197734 0.867630700778643 1.11653872993719 1.31270511017346 1.96472426881 1.20431893687708 1.36767722817415 1.37894457703527 2.07228915662651 1.65892501658925 1.51679306608884 1.43737166324435 1.6321044546851 0.955180014695077 2.06333973128599 1.47492625368732 2.05824392380118 2.03442879499218 1.40754958413308 1.72013017201302 1.54307758251179 1.48777895855473 1.41157491429724 1.60872781065089 1.81256436663234 1.80454651980314 1.38911322888063 1.40161725067385 1.3968253968254 1.48432288192128 1.42202559646074 1.42805495300072 1.48705096073517 1.49938260716176 1.5509494129584 1.42932768660667 1.82772700758312 1.84508937151643 0.896139705882353 1.19322555812163 0.875576036866359 1.65289256198347 0.813197026022305 1.23636363636364 1.17168818747011 1.38601572196938 1.17090184354758 1.06122448979592 1.30443930149379 1.16777883698761 0.7616303005352 1.6008316008316 1.4722536806342 1.64504170528267 1.27023150993649 1.40570089808668 1.48931059332212 1.47148988350705 1.33185349611543 1.04668201800293 1.48883374689826 0.892857142857143 1.71807887543928 1.22685701539148 1.42892338014289 1.027162748231 1.2591389114541 1.12159759266858 1.05809128630705 0.845487212005918 1.350857977364 0.972279685560612 0.967814539725411 2.09150326797386 1.26012601260126 1.4622398073284 1.0166938621815 1.17016089712335 1.35013501350135 1.10663983903421 1.27437432826654 1.23609394313968 1.03441790483355 1.11471422780705 1.05342362678706 0.920169112161154 1.0325837540156 1.52594099694812 1.32867132867133 1.73072600584401 1.82417582417582 1.66338367257606 1.45326985717865 1.47651006711409 1.20945574491479 1.34214329960768 1.63329820864067 1.38339920948617
